source_email,to,from,subject,body,serial_number,item_name,item_description,item_specification,item_quantity,item_deadline
"To: panels.shop@factory.example.com
From: planning.officer+47@factory.example.com
Subject: Terminal Block Sets SN-0047

Hello Panel Team,

We are initiating Serial Number SN-0047 for the item named ""Terminal Block Set TB-47"". The item description is: DIN-rail mounted terminal block kit used inside control panels. The item specification is: Type=Feed Through; Size=2.5sqmm; Color=Grey; Accessories=End Plate+Stopper. The required item quantity is 260 units, and the item deadline is 2026-04-16.

Regards,
Planning",panels.shop@factory.example.com,planning.officer+47@factory.example.com,Terminal Block Sets SN-0047,"Hello Panel Team,

We are initiating Serial Number SN-0047 for the item named ""Terminal Block Set TB-47"". The item description is: DIN-rail mounted terminal block kit used inside control panels. The item specification is: Type=Feed Through; Size=2.5sqmm; Color=Grey; Accessories=End Plate+Stopper. The required item quantity is 260 units, and the item deadline is 2026-04-16.

Regards,
Planning",SN-0047,Terminal Block Set TB-47,"DIN-rail mounted terminal block kit used inside control panels. The item specification is: Type=Feed Through; Size=2.5sqmm; Color=Grey; Accessories=End Plate+Stopper. The required item quantity is 260 units, and the item deadline is 2026-04-16.","Type=Feed Through; Size=2.5sqmm; Color=Grey; Accessories=End Plate+Stopper. The required item quantity is 260 units, and the item deadline is 2026-04-16.",260,2026-04-16
"To: electrical.shop@factory.example.com
From: planning.officer+48@factory.example.com
Subject: Cable Glands SN-0048

Hi team,

Serial Number SN-0048 corresponds to the item named ""Cable Gland CG-48"". The item description is: brass cable glands used for armored cable terminations. The item specification is: Size=25mm; Thread=Metric; IP=IP68; Finish=Nickel Plated. Please arrange an item quantity of 190 units, with an item deadline of 2026-04-17.

Best,
Planning",electrical.shop@factory.example.com,planning.officer+48@factory.example.com,Cable Glands SN-0048,"Hi team,

Serial Number SN-0048 corresponds to the item named ""Cable Gland CG-48"". The item description is: brass cable glands used for armored cable terminations. The item specification is: Size=25mm; Thread=Metric; IP=IP68; Finish=Nickel Plated. Please arrange an item quantity of 190 units, with an item deadline of 2026-04-17.

Best,
Planning",SN-0048,Cable Gland CG-48,"brass cable glands used for armored cable terminations. The item specification is: Size=25mm; Thread=Metric; IP=IP68; Finish=Nickel Plated. Please arrange an item quantity of 190 units, with an item deadline of 2026-04-17.","Size=25mm; Thread=Metric; IP=IP68; Finish=Nickel Plated. Please arrange an item quantity of 190 units, with an item deadline of 2026-04-17.",,
"To: control.stations@factory.example.com
From: planning.officer+49@factory.example.com
Subject: Push Button Stations SN-0049

Hello,

We have created Serial Number SN-0049 for the item named ""Push Button Station PBS-49"". The item description is: start-stop push button station used for local machine control. The item specification is: Enclosure=IP65; Buttons=2; Contact=1NO+1NC; Color=Green+Red. The required item quantity is 58 units, and the item deadline is 2026-04-18.

Regards,
Planning",control.stations@factory.example.com,planning.officer+49@factory.example.com,Push Button Stations SN-0049,"Hello,

We have created Serial Number SN-0049 for the item named ""Push Button Station PBS-49"". The item description is: start-stop push button station used for local machine control. The item specification is: Enclosure=IP65; Buttons=2; Contact=1NO+1NC; Color=Green+Red. The required item quantity is 58 units, and the item deadline is 2026-04-18.

Regards,
Planning",SN-0049,Push Button Station PBS-49,"start-stop push button station used for local machine control. The item specification is: Enclosure=IP65; Buttons=2; Contact=1NO+1NC; Color=Green+Red. The required item quantity is 58 units, and the item deadline is 2026-04-18.","Enclosure=IP65; Buttons=2; Contact=1NO+1NC; Color=Green+Red. The required item quantity is 58 units, and the item deadline is 2026-04-18.",58,2026-04-18
"To: control.stations@factory.example.com
From: planning.officer+50@factory.example.com
Subject: Signal Towers SN-0050

Hi,

Serial Number SN-0050 is assigned to the item named ""Signal Tower ST-50"". The item description is: three-tier signal tower light used for indicating machine status. The item specification is: Colors=Red+Amber+Green; Voltage=24VDC; Mount=Pole; Buzzer=Yes. Please plan an item quantity of 34 units, and the item deadline is 2026-04-19.

Thanks,
Planning Dept.",control.stations@factory.example.com,planning.officer+50@factory.example.com,Signal Towers SN-0050,"Hi,

Serial Number SN-0050 is assigned to the item named ""Signal Tower ST-50"". The item description is: three-tier signal tower light used for indicating machine status. The item specification is: Colors=Red+Amber+Green; Voltage=24VDC; Mount=Pole; Buzzer=Yes. Please plan an item quantity of 34 units, and the item deadline is 2026-04-19.

Thanks,
Planning Dept.",SN-0050,Signal Tower ST-50,"three-tier signal tower light used for indicating machine status. The item specification is: Colors=Red+Amber+Green; Voltage=24VDC; Mount=Pole; Buzzer=Yes. Please plan an item quantity of 34 units, and the item deadline is 2026-04-19.","Colors=Red+Amber+Green; Voltage=24VDC; Mount=Pole; Buzzer=Yes. Please plan an item quantity of 34 units, and the item deadline is 2026-04-19.",,2026-04-19
"To: safety.systems@factory.example.com
From: planning.officer+51@factory.example.com
Subject: Safety Relays SN-0051

Team,

We are raising Serial Number SN-0051 for the item named ""Safety Relay SR-51"". The item description is: safety monitoring relay used in emergency circuits. The item specification is: Inputs=Dual Channel; Output=3NO+1NC; Voltage=24VDC; Category=4. The planned item quantity is 18 units, and the item deadline is 2026-04-20.

Regards,
Planning",safety.systems@factory.example.com,planning.officer+51@factory.example.com,Safety Relays SN-0051,"Team,

We are raising Serial Number SN-0051 for the item named ""Safety Relay SR-51"". The item description is: safety monitoring relay used in emergency circuits. The item specification is: Inputs=Dual Channel; Output=3NO+1NC; Voltage=24VDC; Category=4. The planned item quantity is 18 units, and the item deadline is 2026-04-20.

Regards,
Planning",SN-0051,Safety Relay SR-51,"safety monitoring relay used in emergency circuits. The item specification is: Inputs=Dual Channel; Output=3NO+1NC; Voltage=24VDC; Category=4. The planned item quantity is 18 units, and the item deadline is 2026-04-20.","Inputs=Dual Channel; Output=3NO+1NC; Voltage=24VDC; Category=4. The planned item quantity is 18 units, and the item deadline is 2026-04-20.",18,2026-04-20
"To: safety.systems@factory.example.com
From: planning.officer+52@factory.example.com
Subject: Emergency Stop Stations SN-0052

Hi Safety Team,

Serial Number SN-0052 refers to the item named ""Emergency Stop Station ESS-52"". The item description is: mushroom-head emergency stop with enclosure for field mounting. The item specification is: Head Size=40mm; Latching=Twist Release; Contacts=2NC; IP=IP65. Please produce an item quantity of 40 units, and note that the item deadline is 2026-04-21.

Thanks,
Planning",safety.systems@factory.example.com,planning.officer+52@factory.example.com,Emergency Stop Stations SN-0052,"Hi Safety Team,

Serial Number SN-0052 refers to the item named ""Emergency Stop Station ESS-52"". The item description is: mushroom-head emergency stop with enclosure for field mounting. The item specification is: Head Size=40mm; Latching=Twist Release; Contacts=2NC; IP=IP65. Please produce an item quantity of 40 units, and note that the item deadline is 2026-04-21.

Thanks,
Planning",SN-0052,Emergency Stop Station ESS-52,"mushroom-head emergency stop with enclosure for field mounting. The item specification is: Head Size=40mm; Latching=Twist Release; Contacts=2NC; IP=IP65. Please produce an item quantity of 40 units, and note that the item deadline is 2026-04-21.","Head Size=40mm; Latching=Twist Release; Contacts=2NC; IP=IP65. Please produce an item quantity of 40 units, and note that the item deadline is 2026-04-21.",,2026-04-21
"To: safety.systems@factory.example.com
From: planning.officer+53@factory.example.com
Subject: Safety Light Curtains SN-0053

Hello,

We have opened Serial Number SN-0053 for the item named ""Safety Light Curtain LC-53"". The item description is: presence-sensing light curtain used for access guarding. The item specification is: Height=900mm; Resolution=30mm; Range=0.3-7m; SIL=2. The required item quantity is 5 units, and the item deadline is 2026-04-22.

Regards,
Planning",safety.systems@factory.example.com,planning.officer+53@factory.example.com,Safety Light Curtains SN-0053,"Hello,

We have opened Serial Number SN-0053 for the item named ""Safety Light Curtain LC-53"". The item description is: presence-sensing light curtain used for access guarding. The item specification is: Height=900mm; Resolution=30mm; Range=0.3-7m; SIL=2. The required item quantity is 5 units, and the item deadline is 2026-04-22.

Regards,
Planning",SN-0053,Safety Light Curtain LC-53,"presence-sensing light curtain used for access guarding. The item specification is: Height=900mm; Resolution=30mm; Range=0.3-7m; SIL=2. The required item quantity is 5 units, and the item deadline is 2026-04-22.","Height=900mm; Resolution=30mm; Range=0.3-7m; SIL=2. The required item quantity is 5 units, and the item deadline is 2026-04-22.",5,2026-04-22
"To: safety.systems@factory.example.com
From: planning.officer+54@factory.example.com
Subject: Guard Interlock Switches SN-0054

Hi,

Serial Number SN-0054 is for the item named ""Guard Interlock Switch GIS-54"". The item description is: coded interlock switch used for safety gate monitoring. The specified item specification is: Type=Non-contact; Voltage=24VDC; Contacts=2NO+1NC; Housing=Plastic. The planned item quantity is 33 units, and the item deadline is 2026-04-23.

Best,
Planning",safety.systems@factory.example.com,planning.officer+54@factory.example.com,Guard Interlock Switches SN-0054,"Hi,

Serial Number SN-0054 is for the item named ""Guard Interlock Switch GIS-54"". The item description is: coded interlock switch used for safety gate monitoring. The specified item specification is: Type=Non-contact; Voltage=24VDC; Contacts=2NO+1NC; Housing=Plastic. The planned item quantity is 33 units, and the item deadline is 2026-04-23.

Best,
Planning",SN-0054,Guard Interlock Switch GIS-54,"coded interlock switch used for safety gate monitoring. The specified item specification is: Type=Non-contact; Voltage=24VDC; Contacts=2NO+1NC; Housing=Plastic. The planned item quantity is 33 units, and the item deadline is 2026-04-23.","Type=Non-contact; Voltage=24VDC; Contacts=2NO+1NC; Housing=Plastic. The planned item quantity is 33 units, and the item deadline is 2026-04-23.",33,2026-04-23
"To: identification.systems@factory.example.com
From: planning.officer+55@factory.example.com
Subject: Barcode Scanners SN-0055

Hello ID Team,

We are creating Serial Number SN-0055 for the item named ""Barcode Scanner BCS-55"". The item description is: fixed-mount barcode scanner used for line tracking of cartons. The item specification is: Type=1D/2D; Interface=Ethernet; Range=100-600mm; IP=IP65. Please arrange an item quantity of 17 units, and the item deadline is 2026-04-24.

Regards,
Planning",identification.systems@factory.example.com,planning.officer+55@factory.example.com,Barcode Scanners SN-0055,"Hello ID Team,

We are creating Serial Number SN-0055 for the item named ""Barcode Scanner BCS-55"". The item description is: fixed-mount barcode scanner used for line tracking of cartons. The item specification is: Type=1D/2D; Interface=Ethernet; Range=100-600mm; IP=IP65. Please arrange an item quantity of 17 units, and the item deadline is 2026-04-24.

Regards,
Planning",SN-0055,Barcode Scanner BCS-55,"fixed-mount barcode scanner used for line tracking of cartons. The item specification is: Type=1D/2D; Interface=Ethernet; Range=100-600mm; IP=IP65. Please arrange an item quantity of 17 units, and the item deadline is 2026-04-24.","Type=1D/2D; Interface=Ethernet; Range=100-600mm; IP=IP65. Please arrange an item quantity of 17 units, and the item deadline is 2026-04-24.",,2026-04-24
"To: identification.systems@factory.example.com
From: planning.officer+56@factory.example.com
Subject: RFID Readers SN-0056

Hi,

Serial Number SN-0056 has been assigned to the item named ""RFID Reader RFR-56"". The item description is: UHF RFID reader used for pallet identification in dispatch. The item specification is: Frequency=865-867MHz; Interface=TCP/IP; Antennas=4 Ports; Power=30dBm. We require an item quantity of 9 units, and the item deadline is 2026-04-25.

Thanks,
Planning",identification.systems@factory.example.com,planning.officer+56@factory.example.com,RFID Readers SN-0056,"Hi,

Serial Number SN-0056 has been assigned to the item named ""RFID Reader RFR-56"". The item description is: UHF RFID reader used for pallet identification in dispatch. The item specification is: Frequency=865-867MHz; Interface=TCP/IP; Antennas=4 Ports; Power=30dBm. We require an item quantity of 9 units, and the item deadline is 2026-04-25.

Thanks,
Planning",SN-0056,RFID Reader RFR-56,"UHF RFID reader used for pallet identification in dispatch. The item specification is: Frequency=865-867MHz; Interface=TCP/IP; Antennas=4 Ports; Power=30dBm. We require an item quantity of 9 units, and the item deadline is 2026-04-25.","Frequency=865-867MHz; Interface=TCP/IP; Antennas=4 Ports; Power=30dBm. We require an item quantity of 9 units, and the item deadline is 2026-04-25.",,2026-04-25
"To: identification.systems@factory.example.com
From: planning.officer+57@factory.example.com
Subject: RFID Tags SN-0057

Team,

We have opened Serial Number SN-0057 for the item named ""RFID Tag RFT-57"". The item description is: UHF RFID tag used for pallet and container tracking. The item specification is: Type=On-metal; Memory=128bit EPC; Size=60x20mm; Protection=IP68. The required item quantity is 520 units, and the item deadline is 2026-04-26.

Regards,
Planning",identification.systems@factory.example.com,planning.officer+57@factory.example.com,RFID Tags SN-0057,"Team,

We have opened Serial Number SN-0057 for the item named ""RFID Tag RFT-57"". The item description is: UHF RFID tag used for pallet and container tracking. The item specification is: Type=On-metal; Memory=128bit EPC; Size=60x20mm; Protection=IP68. The required item quantity is 520 units, and the item deadline is 2026-04-26.

Regards,
Planning",SN-0057,RFID Tag RFT-57,"UHF RFID tag used for pallet and container tracking. The item specification is: Type=On-metal; Memory=128bit EPC; Size=60x20mm; Protection=IP68. The required item quantity is 520 units, and the item deadline is 2026-04-26.","Type=On-metal; Memory=128bit EPC; Size=60x20mm; Protection=IP68. The required item quantity is 520 units, and the item deadline is 2026-04-26.",520,2026-04-26
"To: weighing.systems@factory.example.com
From: planning.officer+58@factory.example.com
Subject: Weighing Platforms SN-0058

Hello,

Serial Number SN-0058 is associated with the item named ""Weighing Platform WP-58"". The item description is: floor scale platform used for tote weighing. The item specification is: Size=1000x1000mm; Capacity=1000kg; Material=SS Top; Loadcells=4. We need an item quantity of 6 units, and the item deadline is 2026-04-27.

Best,
Planning",weighing.systems@factory.example.com,planning.officer+58@factory.example.com,Weighing Platforms SN-0058,"Hello,

Serial Number SN-0058 is associated with the item named ""Weighing Platform WP-58"". The item description is: floor scale platform used for tote weighing. The item specification is: Size=1000x1000mm; Capacity=1000kg; Material=SS Top; Loadcells=4. We need an item quantity of 6 units, and the item deadline is 2026-04-27.

Best,
Planning",SN-0058,Weighing Platform WP-58,"floor scale platform used for tote weighing. The item specification is: Size=1000x1000mm; Capacity=1000kg; Material=SS Top; Loadcells=4. We need an item quantity of 6 units, and the item deadline is 2026-04-27.","Size=1000x1000mm; Capacity=1000kg; Material=SS Top; Loadcells=4. We need an item quantity of 6 units, and the item deadline is 2026-04-27.",,2026-04-27
"To: weighing.systems@factory.example.com
From: planning.officer+59@factory.example.com
Subject: Load Cells SN-0059

Hi Weighing Team,

We are scheduling Serial Number SN-0059 for the item named ""Load Cell LC-59"". The item description is: shear beam load cell used in platform scales. The item specification is: Capacity=500kg; Output=2mV/V; Protection=IP67; Material=Alloy Steel. Please arrange an item quantity of 28 units, and the item deadline is 2026-04-28.

Thanks,
Planning",weighing.systems@factory.example.com,planning.officer+59@factory.example.com,Load Cells SN-0059,"Hi Weighing Team,

We are scheduling Serial Number SN-0059 for the item named ""Load Cell LC-59"". The item description is: shear beam load cell used in platform scales. The item specification is: Capacity=500kg; Output=2mV/V; Protection=IP67; Material=Alloy Steel. Please arrange an item quantity of 28 units, and the item deadline is 2026-04-28.

Thanks,
Planning",SN-0059,Load Cell LC-59,"shear beam load cell used in platform scales. The item specification is: Capacity=500kg; Output=2mV/V; Protection=IP67; Material=Alloy Steel. Please arrange an item quantity of 28 units, and the item deadline is 2026-04-28.","Capacity=500kg; Output=2mV/V; Protection=IP67; Material=Alloy Steel. Please arrange an item quantity of 28 units, and the item deadline is 2026-04-28.",,2026-04-28
"To: weighing.systems@factory.example.com
From: planning.officer+60@factory.example.com
Subject: Weighing Junction Boxes SN-0060

Dear Team,

Serial Number SN-0060 corresponds to the item named ""Weighing Junction Box WJB-60"". The item description is: summing junction box used for load cell connections. The item specification is: Channels=4; Material=SS304; IP=IP65; Cable Glands=4 Nos. The required item quantity is 20 units, and the item deadline is 2026-04-29.

Regards,
Planning",weighing.systems@factory.example.com,planning.officer+60@factory.example.com,Weighing Junction Boxes SN-0060,"Dear Team,

Serial Number SN-0060 corresponds to the item named ""Weighing Junction Box WJB-60"". The item description is: summing junction box used for load cell connections. The item specification is: Channels=4; Material=SS304; IP=IP65; Cable Glands=4 Nos. The required item quantity is 20 units, and the item deadline is 2026-04-29.

Regards,
Planning",SN-0060,Weighing Junction Box WJB-60,"summing junction box used for load cell connections. The item specification is: Channels=4; Material=SS304; IP=IP65; Cable Glands=4 Nos. The required item quantity is 20 units, and the item deadline is 2026-04-29.","Channels=4; Material=SS304; IP=IP65; Cable Glands=4 Nos. The required item quantity is 20 units, and the item deadline is 2026-04-29.",20,2026-04-29
"To: weighing.systems@factory.example.com
From: planning.officer+61@factory.example.com
Subject: Checkweigher Frames SN-0061

Hello,

We have created Serial Number SN-0061 for the item named ""Checkweigher Frame CF-61"". The item description is: structural frame for in-line checkweigher units. The item specification is: Material=SS304; Belt Width=400mm; Height=900mm; Finish=Polished. Please supply an item quantity of 4 units, with an item deadline of 2026-04-30.

Thanks,
Planning",weighing.systems@factory.example.com,planning.officer+61@factory.example.com,Checkweigher Frames SN-0061,"Hello,

We have created Serial Number SN-0061 for the item named ""Checkweigher Frame CF-61"". The item description is: structural frame for in-line checkweigher units. The item specification is: Material=SS304; Belt Width=400mm; Height=900mm; Finish=Polished. Please supply an item quantity of 4 units, with an item deadline of 2026-04-30.

Thanks,
Planning",SN-0061,Checkweigher Frame CF-61,"structural frame for in-line checkweigher units. The item specification is: Material=SS304; Belt Width=400mm; Height=900mm; Finish=Polished. Please supply an item quantity of 4 units, with an item deadline of 2026-04-30.","Material=SS304; Belt Width=400mm; Height=900mm; Finish=Polished. Please supply an item quantity of 4 units, with an item deadline of 2026-04-30.",,
"To: weighing.systems@factory.example.com
From: planning.officer+62@factory.example.com
Subject: Rejector Arms SN-0062

Hi,

Serial Number SN-0062 is for the item named ""Rejector Arm RA-62"". The item description is: pneumatic pusher arm used for checkweigher reject stations. The item specification is: Stroke=250mm; Bore=63mm; Material=SS304; Mounting=Side. The planned item quantity is 10 units, and the item deadline is 2026-05-01.

Best,
Planning",weighing.systems@factory.example.com,planning.officer+62@factory.example.com,Rejector Arms SN-0062,"Hi,

Serial Number SN-0062 is for the item named ""Rejector Arm RA-62"". The item description is: pneumatic pusher arm used for checkweigher reject stations. The item specification is: Stroke=250mm; Bore=63mm; Material=SS304; Mounting=Side. The planned item quantity is 10 units, and the item deadline is 2026-05-01.

Best,
Planning",SN-0062,Rejector Arm RA-62,"pneumatic pusher arm used for checkweigher reject stations. The item specification is: Stroke=250mm; Bore=63mm; Material=SS304; Mounting=Side. The planned item quantity is 10 units, and the item deadline is 2026-05-01.","Stroke=250mm; Bore=63mm; Material=SS304; Mounting=Side. The planned item quantity is 10 units, and the item deadline is 2026-05-01.",10,2026-05-01
"To: motion.control@factory.example.com
From: planning.officer+63@factory.example.com
Subject: Servo Motors SN-0063

Team,

We are raising Serial Number SN-0063 for the item named ""Servo Motor SM-63"". The item description is: servo motor used for high-speed indexing systems. The item specification is: Power=1.5kW; Voltage=230VAC; Encoder=20bit; Protection=IP65. We require an item quantity of 16 units, and the item deadline is 2026-05-02.

Regards,
Planning",motion.control@factory.example.com,planning.officer+63@factory.example.com,Servo Motors SN-0063,"Team,

We are raising Serial Number SN-0063 for the item named ""Servo Motor SM-63"". The item description is: servo motor used for high-speed indexing systems. The item specification is: Power=1.5kW; Voltage=230VAC; Encoder=20bit; Protection=IP65. We require an item quantity of 16 units, and the item deadline is 2026-05-02.

Regards,
Planning",SN-0063,Servo Motor SM-63,"servo motor used for high-speed indexing systems. The item specification is: Power=1.5kW; Voltage=230VAC; Encoder=20bit; Protection=IP65. We require an item quantity of 16 units, and the item deadline is 2026-05-02.","Power=1.5kW; Voltage=230VAC; Encoder=20bit; Protection=IP65. We require an item quantity of 16 units, and the item deadline is 2026-05-02.",,2026-05-02
"To: motion.control@factory.example.com
From: planning.officer+64@factory.example.com
Subject: Servo Drives SN-0064

Hello Motion Team,

Serial Number SN-0064 refers to the item named ""Servo Drive SD-64"". The item description is: digital servo drive used for motion control axes. The item specification is: Power=1.5kW; Interface=EtherCAT; Supply=230VAC; I/O=16. Please plan an item quantity of 16 units, with an item deadline of 2026-05-03.

Thanks,
Planning",motion.control@factory.example.com,planning.officer+64@factory.example.com,Servo Drives SN-0064,"Hello Motion Team,

Serial Number SN-0064 refers to the item named ""Servo Drive SD-64"". The item description is: digital servo drive used for motion control axes. The item specification is: Power=1.5kW; Interface=EtherCAT; Supply=230VAC; I/O=16. Please plan an item quantity of 16 units, with an item deadline of 2026-05-03.

Thanks,
Planning",SN-0064,Servo Drive SD-64,"digital servo drive used for motion control axes. The item specification is: Power=1.5kW; Interface=EtherCAT; Supply=230VAC; I/O=16. Please plan an item quantity of 16 units, with an item deadline of 2026-05-03.","Power=1.5kW; Interface=EtherCAT; Supply=230VAC; I/O=16. Please plan an item quantity of 16 units, with an item deadline of 2026-05-03.",,
"To: motion.control@factory.example.com
From: planning.officer+65@factory.example.com
Subject: Linear Guides SN-0065

Hi,

We have opened Serial Number SN-0065 for the item named ""Linear Guide LG-65"". The item description is: linear motion guide rail with blocks for positioning axes. The item specification is: Size=20mm; Length=2200mm; Blocks=2; Accuracy=H Class. The required item quantity is 22 units, and the item deadline is 2026-05-04.

Best,
Planning",motion.control@factory.example.com,planning.officer+65@factory.example.com,Linear Guides SN-0065,"Hi,

We have opened Serial Number SN-0065 for the item named ""Linear Guide LG-65"". The item description is: linear motion guide rail with blocks for positioning axes. The item specification is: Size=20mm; Length=2200mm; Blocks=2; Accuracy=H Class. The required item quantity is 22 units, and the item deadline is 2026-05-04.

Best,
Planning",SN-0065,Linear Guide LG-65,"linear motion guide rail with blocks for positioning axes. The item specification is: Size=20mm; Length=2200mm; Blocks=2; Accuracy=H Class. The required item quantity is 22 units, and the item deadline is 2026-05-04.","Size=20mm; Length=2200mm; Blocks=2; Accuracy=H Class. The required item quantity is 22 units, and the item deadline is 2026-05-04.",22,2026-05-04
"To: motion.control@factory.example.com
From: planning.officer+66@factory.example.com
Subject: Ball Screws SN-0066

Hello,

Serial Number SN-0066 corresponds to the item named ""Ball Screw BS-66"". The item description is: precision ball screw used for linear positioning. The item specification is: Diameter=25mm; Lead=10mm; Length=1500mm; Nut=Single. Please arrange an item quantity of 14 units, and note that the item deadline is 2026-05-05.

Regards,
Planning",motion.control@factory.example.com,planning.officer+66@factory.example.com,Ball Screws SN-0066,"Hello,

Serial Number SN-0066 corresponds to the item named ""Ball Screw BS-66"". The item description is: precision ball screw used for linear positioning. The item specification is: Diameter=25mm; Lead=10mm; Length=1500mm; Nut=Single. Please arrange an item quantity of 14 units, and note that the item deadline is 2026-05-05.

Regards,
Planning",SN-0066,Ball Screw BS-66,"precision ball screw used for linear positioning. The item specification is: Diameter=25mm; Lead=10mm; Length=1500mm; Nut=Single. Please arrange an item quantity of 14 units, and note that the item deadline is 2026-05-05.","Diameter=25mm; Lead=10mm; Length=1500mm; Nut=Single. Please arrange an item quantity of 14 units, and note that the item deadline is 2026-05-05.",,2026-05-05
"To: tooling.shop@factory.example.com
From: planning.officer+67@factory.example.com
Subject: Guide Posts SN-0067

Hi Tooling Team,

We have created Serial Number SN-0067 for the item named ""Guide Post GP-67"". The item description is: guide post used in stamping and forming tools. The item specification is: Diameter=25mm; Length=300mm; Material=Tool Steel; Finish=Ground. The item quantity required is 60 units, and the item deadline is 2026-05-06.

Thanks,
Planning",tooling.shop@factory.example.com,planning.officer+67@factory.example.com,Guide Posts SN-0067,"Hi Tooling Team,

We have created Serial Number SN-0067 for the item named ""Guide Post GP-67"". The item description is: guide post used in stamping and forming tools. The item specification is: Diameter=25mm; Length=300mm; Material=Tool Steel; Finish=Ground. The item quantity required is 60 units, and the item deadline is 2026-05-06.

Thanks,
Planning",SN-0067,Guide Post GP-67,"guide post used in stamping and forming tools. The item specification is: Diameter=25mm; Length=300mm; Material=Tool Steel; Finish=Ground. The item quantity required is 60 units, and the item deadline is 2026-05-06.","Diameter=25mm; Length=300mm; Material=Tool Steel; Finish=Ground. The item quantity required is 60 units, and the item deadline is 2026-05-06.",,2026-05-06
"To: tooling.shop@factory.example.com
From: planning.officer+68@factory.example.com
Subject: Die Set Plates SN-0068

Team,

Serial Number SN-0068 is assigned to the item named ""Die Set Plate DSP-68"". The item description is: upper and lower plates for die set assemblies. The item specification is: Material=EN31; Thickness=40mm; Size=400x300mm; Finish=Ground. We need an item quantity of 12 units, and the item deadline is 2026-05-07.

Regards,
Planning",tooling.shop@factory.example.com,planning.officer+68@factory.example.com,Die Set Plates SN-0068,"Team,

Serial Number SN-0068 is assigned to the item named ""Die Set Plate DSP-68"". The item description is: upper and lower plates for die set assemblies. The item specification is: Material=EN31; Thickness=40mm; Size=400x300mm; Finish=Ground. We need an item quantity of 12 units, and the item deadline is 2026-05-07.

Regards,
Planning",SN-0068,Die Set Plate DSP-68,"upper and lower plates for die set assemblies. The item specification is: Material=EN31; Thickness=40mm; Size=400x300mm; Finish=Ground. We need an item quantity of 12 units, and the item deadline is 2026-05-07.","Material=EN31; Thickness=40mm; Size=400x300mm; Finish=Ground. We need an item quantity of 12 units, and the item deadline is 2026-05-07.",,2026-05-07
"To: tooling.shop@factory.example.com
From: planning.officer+69@factory.example.com
Subject: Punch Inserts SN-0069

Hello,

We are raising Serial Number SN-0069 for the item named ""Punch Insert PI-69"". The item description is: interchangeable punch insert used in blanking tools. The item specification is: Material=HSS; Hardness=60HRC; Shape=Round; Diameter=20mm. Please arrange an item quantity of 80 units, and the item deadline is 2026-05-08.

Best,
Planning",tooling.shop@factory.example.com,planning.officer+69@factory.example.com,Punch Inserts SN-0069,"Hello,

We are raising Serial Number SN-0069 for the item named ""Punch Insert PI-69"". The item description is: interchangeable punch insert used in blanking tools. The item specification is: Material=HSS; Hardness=60HRC; Shape=Round; Diameter=20mm. Please arrange an item quantity of 80 units, and the item deadline is 2026-05-08.

Best,
Planning",SN-0069,Punch Insert PI-69,"interchangeable punch insert used in blanking tools. The item specification is: Material=HSS; Hardness=60HRC; Shape=Round; Diameter=20mm. Please arrange an item quantity of 80 units, and the item deadline is 2026-05-08.","Material=HSS; Hardness=60HRC; Shape=Round; Diameter=20mm. Please arrange an item quantity of 80 units, and the item deadline is 2026-05-08.",,2026-05-08
"To: tooling.shop@factory.example.com
From: planning.officer+70@factory.example.com
Subject: Die Inserts SN-0070

Hi,

Serial Number SN-0070 refers to the item named ""Die Insert DI-70"". The item description is: matching die insert used with punch PI-69. The item specification is: Material=HSS; Clearance=0.1mm; Diameter=20.2mm; Hardness=60HRC. The required item quantity is 80 units, and the item deadline is 2026-05-09.

Thanks,
Planning",tooling.shop@factory.example.com,planning.officer+70@factory.example.com,Die Inserts SN-0070,"Hi,

Serial Number SN-0070 refers to the item named ""Die Insert DI-70"". The item description is: matching die insert used with punch PI-69. The item specification is: Material=HSS; Clearance=0.1mm; Diameter=20.2mm; Hardness=60HRC. The required item quantity is 80 units, and the item deadline is 2026-05-09.

Thanks,
Planning",SN-0070,Die Insert DI-70,"matching die insert used with punch PI-69. The item specification is: Material=HSS; Clearance=0.1mm; Diameter=20.2mm; Hardness=60HRC. The required item quantity is 80 units, and the item deadline is 2026-05-09.","Material=HSS; Clearance=0.1mm; Diameter=20.2mm; Hardness=60HRC. The required item quantity is 80 units, and the item deadline is 2026-05-09.",80,2026-05-09
